fh_KIJK _Gene1,fh_KIJK _Gene2
WI2-1896O14.1,RP11-353N4.1
NPM1,ALK
SCMH1,NPM1
YTHDF2,TAF12
TIMM23B,LINC00843
TIMM23,RP11-464F9.1
ZFYVE27,C10orf76
ZNF654,HMGB2
MT-TA,MT-TC
RP11-444D3.1,SOX5
CTD-2337A12.1,CAST
EWSR1,EMID1
LINC00299,AC007464.1
NPM1P24,SET
C15orf57,CBX3
EEF2,RPS28
JSRP1,RPS28
MT-ND4,MT-ATP8
SLC1A5,MT-ND4L
C17orf76-AS1,RHOA
TDRD9,CTD-2134A5.3
PGS1,AC061992.2
ABHD14B,GNB1
DBF4,ADAM22
POLE4,RP11-355F16.1
PROSC,TMEM237
RAB3GAP1,R3HDM1
YIPF6,BAZ1B
CWC25,RPL23
ELL,FKBP8
GDAP1,RP11-758M4.1
RPS3,PRPF6
USP36,ZNF395
